instance,client_number,distance_centroid_depot,average_distance_to_depot,cv_distance_to_depot,average_distance_to_centroid,cv_distance_to_centroid,ratio_mean_client_demand_capacity,ratio_cv_client_demand_capacity,average_clients_per_vehicle,avg_NN_distances,cv_NN_distances,optimal_min_samples,cluster_ratio,outlier_ratio,avg_clients_per_cluster,cv_clients_per_cluster,intra_cluster_distance,inter_cluster_distance
lib_p01,50.0,0.2594,0.3391,0.503,0.2514,0.4247,[0.1942],[0.6419],3.125,0.0753,0.0022,2,0.26,0.24,0.0769,0.014,0.0626,0.0704
lib_p02,50.0,0.2594,0.3391,0.503,0.2514,0.4247,[0.0971],[0.321],6.25,0.0753,0.0022,2,0.26,0.24,0.0769,0.014,0.0626,0.0704
lib_p03,75.0,0.0329,0.2343,0.4033,0.2321,0.4051,[0.1299],[0.3106],5.0,0.0566,0.003,2,0.2133,0.4,0.0625,0.0189,0.0451,0.0529
lib_p04,100.0,0.1565,0.2727,0.4858,0.2441,0.3709,[0.1458],[0.6054],6.25,0.0511,0.0041,2,0.24,0.33,0.0417,0.0149,0.0381,0.0464
lib_p05,100.0,0.1834,0.2854,0.489,0.2441,0.3709,[0.0729],[0.3027],10.0,0.0511,0.0041,2,0.24,0.33,0.0417,0.0149,0.0381,0.0464
lib_p06,100.0,0.2406,0.3098,0.5484,0.2441,0.3709,[0.1458],[0.6054],5.5556,0.0511,0.0041,2,0.24,0.33,0.0417,0.0149,0.0381,0.0464
lib_p07,100.0,0.1834,0.2854,0.489,0.2441,0.3709,[0.1458],[0.6054],6.25,0.0511,0.0041,2,0.24,0.33,0.0417,0.0149,0.0381,0.0464
lib_p08,249.0,0.3185,0.5923,0.3344,0.5367,0.2604,[0.0972],[0.1233],8.8929,0.0446,0.004,2,0.3373,0.1205,0.0119,0.0042,0.0326,0.0475
lib_p09,249.0,0.4973,0.6877,0.3296,0.5367,0.2604,[0.0972],[0.1233],6.9167,0.0446,0.004,2,0.3373,0.1205,0.0119,0.0042,0.0326,0.0475
lib_p10,249.0,0.533,0.7096,0.3289,0.5367,0.2604,[0.0972],[0.1233],7.7812,0.0446,0.004,2,0.3373,0.1205,0.0119,0.0042,0.0326,0.0475
lib_p11,249.0,0.4973,0.6877,0.3296,0.5367,0.2604,[0.0972],[0.1233],8.3,0.0446,0.004,2,0.3373,0.1205,0.0119,0.0042,0.0326,0.0475
lib_p12,80.0,0.3281,0.4479,0.3609,0.3775,0.2439,[0.09],[1.259],8.0,0.0683,0.001,14,0.025,0.0,0.5,0.0009,0.2163,0.3277
lib_p13,80.0,0.3281,0.4479,0.3609,0.3775,0.2439,[0.09],[1.259],8.0,0.0683,0.001,14,0.025,0.0,0.5,0.0009,0.2163,0.3277
lib_p14,80.0,0.3281,0.4479,0.3609,0.3775,0.2439,[0.09],[1.259],8.0,0.0683,0.001,14,0.025,0.0,0.5,0.0009,0.2163,0.3277
lib_p15,160.0,0.3438,0.4666,0.2136,0.3662,0.154,[0.09],[1.259],8.0,0.0501,0.0008,14,0.025,0.0,0.25,0.0006,0.1606,0.2419
lib_p16,160.0,0.3438,0.4666,0.2136,0.3662,0.154,[0.09],[1.259],8.0,0.0501,0.0008,14,0.025,0.0,0.25,0.0006,0.1606,0.2419
lib_p17,160.0,0.3438,0.4666,0.2136,0.3662,0.154,[0.09],[1.259],8.0,0.0501,0.0008,14,0.025,0.0,0.25,0.0006,0.1606,0.2419
lib_p18,240.0,0.2431,0.5115,0.186,0.4655,0.1703,[0.09],[1.259],8.0,0.05,0.0008,14,0.025,0.0,0.1667,0.0005,0.1607,0.2418
lib_p19,240.0,0.2431,0.5115,0.186,0.4655,0.1703,[0.09],[1.259],8.0,0.05,0.0008,14,0.025,0.0,0.1667,0.0005,0.1607,0.2418
lib_p20,240.0,0.2431,0.5115,0.186,0.4655,0.1703,[0.09],[1.259],8.0,0.05,0.0008,14,0.025,0.0,0.1667,0.0005,0.1607,0.2418
lib_p21,360.0,0.0,0.5523,0.1646,0.5523,0.1646,[0.09],[1.259],8.0,0.0499,0.0008,14,0.025,0.0,0.1111,0.0003,0.1608,0.242
lib_p22,360.0,0.0,0.5523,0.1646,0.5523,0.1646,[0.09],[1.259],8.0,0.0499,0.0008,14,0.025,0.0,0.1111,0.0003,0.1608,0.242
lib_p23,360.0,0.0,0.5523,0.1646,0.5523,0.1646,[0.09],[1.259],8.0,0.0499,0.0008,14,0.025,0.0,0.1111,0.0003,0.1608,0.242
lib_problem3,360.0,0.0,0.5523,0.1646,0.5523,0.1646,[0.09],[1.259],8.0,0.0499,0.0008,14,0.025,0.0,0.1111,0.0003,0.1608,0.242
