2596.16
1	1	201.701	56	0 8 16 24 32 67 75 40 29 21 13 5 0
1	2	170.711	54	0 4 12 20 28 36 33 25 17 9 1 0
1	3	128.482	51	0 3 11 19 34 26 18 10 2 0
1	4	102.426	48	0 6 14 22 23 15 7 0
2	1	204.853	60	0 42 50 58 66 74 39 31 30 38 73 65 57 49 41 0
2	2	170.711	54	0 46 54 62 70 78 76 68 60 52 44 0
2	3	128.482	51	0 48 56 64 79 71 63 55 47 0
2	4	102.426	48	0 45 53 61 59 51 43 0
3	1	188.929	55	0 85 93 101 109 117 115 160 107 99 91 83 0
3	2	170.711	54	0 88 96 104 112 120 119 111 103 95 87 0
3	3	102.426	48	0 82 90 98 97 89 81 0
3	4	204.853	60	0 86 94 102 110 118 80 72 69 77 116 108 100 92 84 0
4	1	196.084	58	0 121 129 137 145 153 35 27 37 156 148 140 132 124 0
4	2	204.853	60	0 126 134 142 150 158 113 105 106 114 159 151 143 135 127 0
4	3	170.711	54	0 123 131 139 147 155 154 146 138 130 122 0
4	4	147.8	53	0 128 136 144 152 157 149 141 133 125 0
