2596.59
1	1	216.084	60	0 8 16 24 32 40 158 113 75 67 74 39 31 23 15 7 0
1	2	188.929	55	0 6 14 22 30 73 38 36 28 20 12 4 0
1	3	204.853	60	0 3 11 19 27 35 153 145 148 156 37 29 21 13 5 0
1	4	170.711	54	0 2 10 18 26 34 33 25 17 9 1 0
2	1	170.711	54	0 47 55 63 71 79 78 70 62 54 46 0
2	2	147.8	53	0 44 52 60 68 76 65 57 49 41 0
2	3	114.049	50	0 43 51 59 66 58 50 42 0
2	4	102.426	48	0 45 53 61 64 56 48 0
3	1	188.929	55	0 83 91 99 107 160 115 117 109 101 93 85 0
3	2	170.711	54	0 87 95 103 111 119 120 112 104 96 88 0
3	3	204.853	60	0 84 92 100 108 116 77 69 72 80 118 110 102 94 86 0
3	4	147.8	53	0 81 89 97 105 114 106 98 90 82 0
4	1	170.711	54	0 122 130 138 146 154 155 147 139 131 123 0
4	2	147.8	53	0 126 134 142 150 159 151 143 135 127 0
4	3	147.8	53	0 128 136 144 152 157 149 141 133 125 0
4	4	102.426	48	0 121 129 137 140 132 124 0
