instance,client_number,distance_centroid_depot,average_distance_to_depot,cv_distance_to_depot,average_distance_to_centroid,cv_distance_to_centroid,ratio_mean_client_demand_capacity,ratio_cv_client_demand_capacity,average_clients_per_vehicle,avg_NN_distances,cv_NN_distances,optimal_min_samples,cluster_ratio,outlier_ratio,avg_clients_per_cluster,cv_clients_per_cluster,intra_cluster_distance,inter_cluster_distance
CMT1,50.0,0.055,0.2571,0.4177,0.2514,0.4247,0.0971,0.321,1.0,0.0753,0.0022,2,0.26,0.24,0.0769,0.014,0.0626,0.0704
CMT10,199.0,0.0203,0.2365,0.3776,0.2364,0.3696,0.0801,0.265,1.0,0.0265,0.0065,2,0.3116,0.1508,0.0161,0.0055,0.0196,0.0303
CMT11,120.0,0.3159,0.3812,0.4595,0.3105,0.1525,0.0573,0.234,1.0,0.0187,0.0041,12,0.05,0.0,0.1667,0.004,0.0454,0.1503
CMT12,100.0,0.0212,0.2264,0.3323,0.2268,0.3198,0.0905,0.2863,1.0,0.0208,0.0033,5,0.1,0.0,0.1,0.0016,0.0351,0.093
CMT13,120.0,0.3159,0.3812,0.4595,0.3105,0.1525,0.0573,0.234,1.0,0.0187,0.0041,12,0.05,0.0,0.1667,0.004,0.0454,0.1503
CMT14,100.0,0.0212,0.2264,0.3323,0.2268,0.3198,0.0905,0.2863,1.0,0.0208,0.0033,5,0.1,0.0,0.1,0.0016,0.0351,0.093
CMT2,75.0,0.0329,0.2343,0.4033,0.2321,0.4051,0.1299,0.3106,1.0,0.0566,0.003,2,0.2133,0.4,0.0625,0.0189,0.0451,0.0529
CMT3,100.0,0.0156,0.2444,0.3725,0.2441,0.3709,0.0729,0.3027,1.0,0.0511,0.0041,2,0.24,0.33,0.0417,0.0149,0.0381,0.0464
CMT4,150.0,0.0208,0.2404,0.3812,0.2402,0.3736,0.0745,0.2874,1.0,0.033,0.0053,2,0.32,0.18,0.0208,0.0077,0.0231,0.0361
CMT5,199.0,0.0203,0.2365,0.3776,0.2364,0.3696,0.0801,0.265,1.0,0.0265,0.0065,2,0.3116,0.1508,0.0161,0.0055,0.0196,0.0303
CMT6,50.0,0.055,0.2571,0.4177,0.2514,0.4247,0.0971,0.321,1.0,0.0753,0.0022,2,0.26,0.24,0.0769,0.014,0.0626,0.0704
CMT7,75.0,0.0329,0.2343,0.4033,0.2321,0.4051,0.1299,0.3106,1.0,0.0566,0.003,2,0.2133,0.4,0.0625,0.0189,0.0451,0.0529
CMT8,100.0,0.0156,0.2444,0.3725,0.2441,0.3709,0.0729,0.3027,1.0,0.0511,0.0041,2,0.24,0.33,0.0417,0.0149,0.0381,0.0464
CMT9,150.0,0.0208,0.2404,0.3812,0.2402,0.3736,0.0745,0.2874,1.0,0.033,0.0053,2,0.32,0.18,0.0208,0.0077,0.0231,0.0361
