instance,client_number,distance_centroid_depot,average_distance_to_depot,cv_distance_to_depot,average_distance_to_centroid,cv_distance_to_centroid,ratio_mean_client_demand_capacity,ratio_cv_client_demand_capacity,average_clients_per_vehicle,avg_NN_distances,cv_NN_distances,optimal_min_samples,cluster_ratio,outlier_ratio,avg_clients_per_cluster,cv_clients_per_cluster,intra_cluster_distance,inter_cluster_distance
X-n1001-k43,1000.0,0.4352,0.4869,0.0276,0.2714,0.0263,0.0424,0.3932,1.0,0.0111,0.0004,2,0.303,0.158,0.0033,0.0027,0.0074,0.0133
X-n101-k25,100.0,0.1865,0.3206,0.0269,0.2629,0.0316,0.2499,0.2708,1.0,0.034,0.0005,2,0.31,0.14,0.0323,0.0067,0.0306,0.0369
X-n106-k14,105.0,0.6414,0.6556,0.0191,0.197,0.0325,0.1248,0.0346,1.0,0.0238,0.0007,28,0.019,0.2476,0.5,0.0048,0.0929,0.203
X-n110-k13,109.0,0.0364,0.2696,0.0248,0.2663,0.0257,0.1134,0.3725,1.0,0.0367,0.0004,2,0.2569,0.1927,0.0357,0.0083,0.0329,0.0455
X-n115-k10,114.0,0.0343,0.2601,0.0274,0.2573,0.0281,0.0797,1.0595,1.0,0.0377,0.0004,2,0.2982,0.1316,0.0294,0.0065,0.0306,0.0421
X-n120-k6,119.0,0.4857,0.5198,0.0308,0.2685,0.0284,0.0476,0.0,1.0,0.0326,0.0004,2,0.3025,0.1513,0.0278,0.0066,0.0265,0.0425
X-n125-k30,124.0,0.5956,0.6391,0.0184,0.2683,0.0225,0.2375,0.349,1.0,0.0253,0.0008,23,0.0161,0.0,0.5,0.0016,0.1269,0.2447
X-n129-k18,128.0,0.4607,0.4966,0.0263,0.2402,0.0299,0.1332,1.4508,1.0,0.0328,0.0005,2,0.2578,0.2188,0.0303,0.0088,0.0275,0.0343
X-n134-k13,133.0,0.3025,0.3281,0.049,0.187,0.0518,0.0961,0.0647,1.0,0.0215,0.0008,18,0.015,0.0,0.5,0.0047,0.096,0.2155
X-n139-k10,138.0,0.0092,0.2634,0.0272,0.2632,0.0272,0.071,0.2187,1.0,0.0319,0.0004,2,0.2971,0.1304,0.0244,0.0056,0.025,0.0393
X-n143-k7,142.0,0.517,0.5552,0.0281,0.2808,0.0258,0.0442,0.0463,1.0,0.0306,0.0004,2,0.2817,0.1127,0.025,0.0048,0.0267,0.0374
X-n148-k46,147.0,0.1767,0.3006,0.0346,0.2645,0.0277,0.3088,2.83,1.0,0.0284,0.0004,2,0.2925,0.1769,0.0233,0.0072,0.022,0.0313
X-n153-k22,152.0,0.1282,0.2685,0.026,0.2379,0.0279,0.1402,1.0403,1.0,0.0208,0.0008,33,0.0197,0.0066,0.3333,0.0049,0.0591,0.1175
X-n157-k13,156.0,0.3092,0.3917,0.0265,0.2649,0.0229,0.0833,0.0,1.0,0.017,0.0008,24,0.0128,0.0,0.5,0.0013,0.0788,0.2658
X-n162-k11,161.0,0.0657,0.2728,0.0247,0.264,0.0261,0.0645,0.0161,1.0,0.0287,0.0004,2,0.2795,0.1677,0.0222,0.0064,0.0237,0.0351
X-n167-k10,166.0,0.5174,0.5569,0.0251,0.2639,0.0281,0.056,0.1686,1.0,0.0282,0.0004,2,0.2952,0.1747,0.0204,0.0068,0.0213,0.0331
X-n172-k51,171.0,0.0504,0.2751,0.031,0.2751,0.0281,0.2939,0.366,1.0,0.0229,0.0005,28,0.0175,0.0994,0.3333,0.0043,0.11,0.2089
X-n176-k26,175.0,0.5013,0.5382,0.0274,0.2688,0.0258,0.1462,1.0006,1.0,0.0265,0.0004,2,0.3486,0.0743,0.0164,0.0033,0.0203,0.0327
X-n181-k23,180.0,0.292,0.356,0.0182,0.1996,0.0359,0.125,0.0,1.0,0.0205,0.0006,27,0.0222,0.0944,0.25,0.0043,0.1042,0.0964
X-n186-k15,185.0,0.3757,0.4329,0.0335,0.2811,0.0239,0.0769,0.0209,1.0,0.0279,0.0003,2,0.2919,0.1297,0.0185,0.0048,0.0234,0.0333
X-n190-k8,189.0,0.6554,0.6588,0.0189,0.1575,0.0405,0.04,0.3711,1.0,0.0144,0.0008,25,0.0159,0.0053,0.3333,0.0046,0.0526,0.1509
X-n195-k51,194.0,0.0563,0.264,0.0272,0.2568,0.0288,0.2622,0.3441,1.0,0.026,0.0005,2,0.2938,0.1856,0.0175,0.0068,0.0189,0.0274
X-n200-k36,199.0,0.5,0.5688,0.0181,0.2725,0.0371,0.1783,0.0727,1.0,0.0176,0.0007,27,0.0101,0.0,0.5,0.0022,0.1204,0.3004
X-n204-k19,203.0,0.09,0.2493,0.0283,0.2244,0.0369,0.0892,0.0232,1.0,0.0237,0.0005,2,0.3251,0.1823,0.0152,0.0069,0.0161,0.0286
X-n209-k16,208.0,0.4953,0.5412,0.0261,0.2764,0.0266,0.0736,0.2248,1.0,0.0247,0.0004,2,0.3125,0.1058,0.0154,0.0039,0.0188,0.0322
X-n214-k11,213.0,0.214,0.2428,0.037,0.1405,0.0422,0.0515,0.063,1.0,0.0172,0.0009,2,0.2817,0.1737,0.0167,0.006,0.0122,0.0181
X-n219-k73,218.0,0.5022,0.5454,0.027,0.2798,0.0256,0.3333,0.0,1.0,0.0237,0.0004,2,0.3165,0.078,0.0145,0.0032,0.0189,0.0301
X-n223-k34,222.0,0.2306,0.3619,0.0322,0.311,0.0206,0.1502,1.425,1.0,0.0239,0.0005,2,0.3198,0.1351,0.0141,0.0048,0.0185,0.0266
X-n228-k23,227.0,0.1566,0.3109,0.0243,0.2607,0.0338,0.0995,1.0185,1.0,0.018,0.0006,2,0.3084,0.1322,0.0143,0.0046,0.0138,0.0195
X-n233-k16,232.0,0.0536,0.2641,0.0271,0.2561,0.0296,0.0689,0.1049,1.0,0.0228,0.0005,2,0.2931,0.1509,0.0147,0.0051,0.017,0.0253
X-n237-k14,236.0,0.4888,0.5328,0.0265,0.2755,0.0239,0.0556,0.0,1.0,0.0247,0.0004,3,0.1653,0.1864,0.0256,0.0045,0.0316,0.0377
X-n242-k48,241.0,0.525,0.5672,0.0252,0.2778,0.0251,0.1962,1.9209,1.0,0.0221,0.0004,2,0.3071,0.1328,0.0135,0.0045,0.0167,0.0261
X-n247-k50,246.0,0.2357,0.2733,0.0255,0.1459,0.0405,0.1881,0.9806,1.0,0.017,0.0007,2,0.2561,0.2276,0.0159,0.007,0.0117,0.0177
X-n251-k28,250.0,0.346,0.4157,0.0247,0.252,0.0287,0.1082,0.3234,1.0,0.0211,0.0006,2,0.312,0.164,0.0128,0.0055,0.0145,0.0229
X-n256-k16,255.0,0.0193,0.2726,0.0169,0.2723,0.0164,0.0625,0.0155,1.0,0.0163,0.0005,2,0.3294,0.1176,0.0119,0.004,0.0128,0.0206
X-n261-k13,260.0,0.4919,0.5321,0.0284,0.2754,0.0269,0.0476,0.0515,1.0,0.0225,0.0004,2,0.3,0.0846,0.0128,0.0028,0.0182,0.0273
X-n266-k58,265.0,0.3827,0.4158,0.0342,0.2335,0.0335,0.2173,0.6469,1.0,0.0199,0.0005,2,0.3132,0.1547,0.012,0.0051,0.0145,0.0235
X-n270-k35,269.0,0.0434,0.2791,0.0277,0.2753,0.0283,0.1298,0.0329,1.0,0.0205,0.0005,2,0.2937,0.1784,0.0127,0.0056,0.015,0.023
X-n275-k28,274.0,0.1091,0.2326,0.0363,0.2168,0.029,0.1,0.0,1.0,0.0166,0.0007,2,0.2956,0.2044,0.0123,0.0064,0.011,0.0182
X-n280-k17,279.0,0.5016,0.5408,0.027,0.2709,0.0258,0.0604,0.9077,1.0,0.0228,0.0003,2,0.2975,0.1326,0.012,0.0041,0.0174,0.0255
X-n284-k15,283.0,0.3791,0.4054,0.0254,0.182,0.0312,0.0495,0.4868,1.0,0.0164,0.0011,2,0.2862,0.1661,0.0123,0.005,0.0108,0.0163
X-n289-k60,288.0,0.4812,0.5138,0.0316,0.2749,0.0243,0.2077,0.1883,1.0,0.0221,0.0004,2,0.25,0.2153,0.0139,0.0061,0.018,0.0272
X-n294-k50,293.0,0.0143,0.2721,0.0264,0.2717,0.0264,0.1693,0.206,1.0,0.0213,0.0004,2,0.3072,0.1229,0.0111,0.0038,0.0165,0.0255
X-n298-k31,297.0,0.1717,0.3043,0.0319,0.2675,0.0271,0.1034,0.9372,1.0,0.0208,0.0004,2,0.303,0.1178,0.0111,0.0036,0.016,0.0253
X-n303-k21,302.0,0.094,0.259,0.0242,0.2283,0.0368,0.0666,0.0696,1.0,0.017,0.0007,21,0.0066,0.0,0.5,0.0025,0.1188,0.2559
X-n308-k13,307.0,0.4403,0.4768,0.0315,0.2633,0.0251,0.0413,0.7176,1.0,0.0206,0.0005,2,0.2769,0.2085,0.0118,0.006,0.0142,0.0231
X-n313-k71,312.0,0.366,0.4296,0.0288,0.2694,0.0242,0.2267,0.1952,1.0,0.0185,0.0005,2,0.3109,0.1378,0.0103,0.0042,0.0137,0.0219
X-n317-k53,316.0,0.4664,0.4928,0.0371,0.294,0.0181,0.1667,0.0,1.0,0.0123,0.0008,18,0.0127,0.0032,0.25,0.0024,0.0518,0.1451
X-n322-k28,321.0,0.0115,0.2682,0.0254,0.2679,0.0254,0.0861,0.0224,1.0,0.019,0.0004,2,0.3146,0.1121,0.0099,0.0034,0.0145,0.0228
X-n327-k20,326.0,0.2971,0.3541,0.039,0.2541,0.0284,0.0588,0.1782,1.0,0.02,0.0005,2,0.2791,0.1564,0.011,0.0044,0.0152,0.0233
X-n331-k15,330.0,0.5228,0.5622,0.0248,0.2653,0.0279,0.0435,0.0,1.0,0.0204,0.0004,2,0.3,0.1667,0.0101,0.0048,0.0145,0.0224
X-n336-k84,335.0,0.5127,0.5529,0.0261,0.2703,0.0278,0.2488,0.2862,1.0,0.0189,0.0004,2,0.3104,0.1373,0.0096,0.004,0.0134,0.0231
X-n344-k43,343.0,0.0285,0.2737,0.0274,0.2738,0.0263,0.1244,0.358,1.0,0.0191,0.0004,2,0.2828,0.1603,0.0103,0.0044,0.0142,0.0224
X-n351-k40,350.0,0.0493,0.1762,0.0318,0.1682,0.0341,0.1135,0.1311,1.0,0.0132,0.0008,2,0.28,0.1886,0.0102,0.0051,0.0089,0.0145
X-n359-k29,358.0,0.4954,0.5317,0.0249,0.2506,0.0274,0.0799,0.7647,1.0,0.0176,0.0004,2,0.324,0.1536,0.0086,0.0045,0.0122,0.0202
X-n367-k17,366.0,0.2955,0.3563,0.0206,0.2158,0.02,0.0457,0.7969,1.0,0.0135,0.0006,33,0.0109,0.0273,0.25,0.002,0.1142,0.0822
X-n376-k94,375.0,0.4842,0.5272,0.0272,0.2722,0.0267,0.25,0.0,1.0,0.0181,0.0004,2,0.3013,0.168,0.0088,0.0046,0.0126,0.0213
X-n384-k52,383.0,0.3112,0.3821,0.0329,0.2668,0.0259,0.135,0.0333,1.0,0.0192,0.0004,2,0.3003,0.1697,0.0087,0.0046,0.0135,0.0217
X-n393-k38,392.0,0.1364,0.2778,0.0277,0.2382,0.0347,0.0955,0.2988,1.0,0.017,0.0005,2,0.3138,0.1378,0.0081,0.0038,0.0118,0.0197
X-n401-k29,400.0,0.6408,0.6707,0.0187,0.2463,0.0288,0.0714,0.0731,1.0,0.0132,0.0006,39,0.0125,0.0275,0.2,0.0018,0.0921,0.0978
X-n411-k19,410.0,0.1393,0.2638,0.0463,0.2493,0.0356,0.044,0.8489,1.0,0.0129,0.0007,2,0.2976,0.1951,0.0082,0.0051,0.0091,0.0143
X-n420-k130,419.0,0.0758,0.2695,0.0236,0.2541,0.0284,0.3083,2.862,1.0,0.0157,0.0005,2,0.3007,0.1193,0.0079,0.0031,0.0118,0.0184
X-n429-k61,428.0,0.1917,0.3236,0.0299,0.2776,0.0248,0.1406,0.0349,1.0,0.0174,0.0004,2,0.3014,0.1565,0.0078,0.004,0.0126,0.0209
X-n439-k37,438.0,0.0261,0.2664,0.0224,0.2646,0.0229,0.0833,0.0,1.0,0.016,0.0005,2,0.3151,0.1484,0.0072,0.0039,0.0109,0.0187
X-n449-k29,448.0,0.5167,0.5559,0.0241,0.2611,0.0268,0.0645,0.0735,1.0,0.0177,0.0004,2,0.2924,0.154,0.0076,0.0038,0.0129,0.0204
X-n459-k26,458.0,0.1174,0.22,0.0327,0.1874,0.0374,0.0561,0.0383,1.0,0.0116,0.0007,2,0.3035,0.2118,0.0072,0.0053,0.0073,0.013
X-n469-k138,468.0,0.4907,0.5353,0.026,0.2707,0.0275,0.2936,0.0763,1.0,0.017,0.0004,2,0.2885,0.1709,0.0074,0.0041,0.012,0.0198
X-n480-k70,479.0,0.3408,0.4128,0.0215,0.2403,0.0325,0.1445,0.4432,1.0,0.0135,0.0006,2,0.2797,0.1795,0.0075,0.0043,0.0092,0.0152
X-n491-k59,490.0,0.2623,0.3479,0.0347,0.2692,0.0245,0.119,0.1323,1.0,0.015,0.0005,2,0.2918,0.1408,0.007,0.0033,0.011,0.0187
X-n502-k39,501.0,0.536,0.6043,0.0134,0.2879,0.0215,0.0769,0.0,1.0,0.01,0.001,21,0.004,0.0,0.5,0.0004,0.0815,0.2916
X-n513-k21,512.0,0.0777,0.2386,0.0295,0.2218,0.0343,0.04,0.3592,1.0,0.0146,0.0005,2,0.2988,0.1543,0.0065,0.0036,0.01,0.018
X-n524-k153,523.0,0.2118,0.3258,0.0324,0.2697,0.0273,0.2611,0.8566,1.0,0.0161,0.0004,2,0.2906,0.1224,0.0066,0.0028,0.0121,0.0208
X-n536-k96,535.0,0.1206,0.3217,0.0204,0.298,0.0222,0.1785,0.0966,1.0,0.0117,0.0008,48,0.0075,0.0168,0.25,0.0015,0.1241,0.1452
X-n548-k50,547.0,0.5,0.5424,0.0259,0.2723,0.0251,0.0909,0.0,1.0,0.0154,0.0004,2,0.2907,0.1499,0.0063,0.0034,0.0112,0.019
X-n561-k42,560.0,0.0518,0.273,0.0247,0.2686,0.0247,0.0737,0.6796,1.0,0.0149,0.0005,2,0.3,0.1536,0.006,0.0035,0.0104,0.0177
X-n573-k30,572.0,0.6045,0.6122,0.0125,0.1192,0.0439,0.0514,0.8692,1.0,0.0093,0.0012,2,0.285,0.1678,0.0061,0.0037,0.0058,0.0096
X-n586-k159,585.0,0.3127,0.3959,0.0344,0.2908,0.0258,0.2705,0.8136,1.0,0.0135,0.0005,2,0.3026,0.1846,0.0056,0.0041,0.0094,0.0165
X-n599-k92,598.0,0.2802,0.3676,0.0333,0.2756,0.0263,0.1536,0.0388,1.0,0.0147,0.0004,2,0.3043,0.1388,0.0055,0.0031,0.0105,0.0176
X-n613-k62,612.0,0.0131,0.2778,0.0251,0.2774,0.0252,0.1,0.1036,1.0,0.0145,0.0004,2,0.299,0.1242,0.0055,0.0027,0.0105,0.0176
X-n627-k43,626.0,0.4167,0.4441,0.0371,0.2351,0.0451,0.0684,0.2055,1.0,0.0099,0.0007,17,0.008,0.0735,0.2,0.0011,0.0884,0.1194
X-n641-k35,640.0,0.4918,0.5398,0.0227,0.2668,0.0242,0.0538,0.0147,1.0,0.0139,0.0004,2,0.2828,0.1859,0.0055,0.0038,0.0096,0.0164
X-n655-k131,654.0,0.2246,0.2737,0.018,0.1474,0.042,0.2,0.0,1.0,0.0079,0.0007,24,0.0046,0.0336,0.3333,0.0014,0.1129,0.1157
X-n670-k130,669.0,0.2446,0.347,0.0305,0.2697,0.0266,0.1879,1.0023,1.0,0.0141,0.0004,2,0.2855,0.154,0.0052,0.0031,0.0101,0.017
X-n685-k75,684.0,0.0185,0.2636,0.0267,0.2626,0.027,0.1086,0.1578,1.0,0.0133,0.0005,2,0.2939,0.1711,0.005,0.0035,0.0091,0.0153
X-n701-k44,700.0,0.5447,0.5769,0.0223,0.2386,0.0329,0.0623,0.6169,1.0,0.0123,0.0005,2,0.3171,0.14,0.0045,0.0029,0.0081,0.0143
X-n716-k35,715.0,0.3559,0.3785,0.0347,0.2086,0.0281,0.0476,0.059,1.0,0.0083,0.0008,31,0.0042,0.0014,0.3333,0.0011,0.0569,0.1123
X-n733-k159,732.0,0.0095,0.2775,0.0259,0.2774,0.0259,0.2169,2.1402,1.0,0.0127,0.0004,2,0.3101,0.1434,0.0044,0.0029,0.0088,0.0153
X-n749-k98,748.0,0.174,0.2554,0.0328,0.2009,0.0321,0.1297,0.1394,1.0,0.0101,0.0007,2,0.3075,0.1791,0.0043,0.0036,0.0062,0.0109
X-n766-k71,765.0,0.4998,0.5359,0.0247,0.2481,0.0298,0.0921,0.9908,1.0,0.0128,0.0004,2,0.3046,0.149,0.0043,0.0029,0.0085,0.0144
X-n783-k48,782.0,0.4123,0.4622,0.0311,0.2741,0.0254,0.0606,0.067,1.0,0.0131,0.0004,2,0.298,0.1419,0.0043,0.0027,0.0092,0.0156
X-n801-k40,800.0,0.4947,0.5375,0.0269,0.275,0.026,0.05,0.0,1.0,0.0126,0.0004,2,0.2938,0.155,0.0043,0.0029,0.0087,0.0147
X-n819-k171,818.0,0.0859,0.3078,0.0209,0.2969,0.0205,0.208,0.0543,1.0,0.0098,0.0007,41,0.0073,0.1051,0.1667,0.0008,0.0749,0.1086
X-n837-k142,836.0,0.3974,0.4528,0.0273,0.261,0.0262,0.1689,0.5191,1.0,0.0118,0.0005,2,0.2955,0.14,0.004,0.0026,0.0084,0.0143
X-n856-k95,855.0,0.0096,0.2858,0.0223,0.2859,0.0221,0.1111,0.0,1.0,0.0114,0.0005,2,0.2959,0.1614,0.004,0.003,0.0078,0.0132
X-n876-k59,875.0,0.4953,0.5445,0.0169,0.2307,0.0374,0.0666,0.0754,1.0,0.0086,0.0008,49,0.0034,0.0011,0.3333,0.0012,0.0701,0.1826
X-n895-k37,894.0,0.3045,0.3811,0.0323,0.2708,0.0255,0.0413,0.0109,1.0,0.012,0.0004,2,0.3031,0.1421,0.0037,0.0026,0.0082,0.0142
X-n916-k207,915.0,0.4795,0.5357,0.0236,0.2791,0.0269,0.2257,0.7086,1.0,0.0116,0.0005,2,0.3049,0.1617,0.0036,0.0029,0.0078,0.0132
X-n936-k151,935.0,0.0071,0.2687,0.0268,0.2685,0.0269,0.1608,1.0039,1.0,0.0117,0.0004,2,0.3027,0.1422,0.0035,0.0025,0.008,0.0138
X-n957-k87,956.0,0.2062,0.2945,0.0342,0.2316,0.0318,0.0909,0.0,1.0,0.0108,0.0005,2,0.2897,0.1287,0.0036,0.0022,0.0076,0.0132
X-n979-k58,978.0,0.6282,0.6538,0.026,0.2746,0.0316,0.0588,0.046,1.0,0.0086,0.0007,33,0.0051,0.0082,0.2,0.0009,0.0842,0.1516
