instance,ANN_min,KNN_min,RF_min
p01,578.2 1,576.87 1,596.14 1
p02,488.52 1,480.72 1,488.52 1
p03,647.86 1,648.99 1,654.51 1
p04,1033.66 1,1038.76 1,1030.67 1
p05,764.74 1,774.54 1,768.76 1
p06,897.93 1,890.76 1,892.44 1
p07,919.52 1,904.52 1,909.83 1
p08,4818.01 1,4713.0 0,4819.81 0
p09,4463.79 1,4215.93 1,4226.81 1
p10,4090.64 1,4066.37 1,3960.0 1
p11,3933.61 0,4007.89 0,3864.82 0
p12,1318.95 1,1318.95 1,1318.95 1
p13,1318.95 1,1318.95 1,1318.95 1
p14,1318.95 0,1318.95 0,1318.95 0
p15,2585.42 1,2577.52 1,2587.88 1
p16,2587.88 0,2579.25 0,2577.52 0
p17,2568.5 0,2579.25 0,2579.25 0
p18,3974.89 1,3915.93 1,3909.73 1
p19,3874.38 0,3914.19 0,3946.48 0
p20,3906.76 0,3871.34 0,3944.43 0
p21,5986.54 1,6116.24 1,6122.53 1
p22,6028.54 0,6100.51 0,6094.59 0
p23,6058.57 0,5980.36 0,6183.75 0
pr01,891.54 1,891.54 1,891.54 1
pr02,1347.59 0,1317.92 0,1358.31 0
pr03,1844.51 1,1846.01 1,1846.24 1
pr04,2156.35 0,2144.52 0,2162.48 0
pr05,2434.46 0,2446.69 0,2482.49 0
pr06,2827.22 0,2820.36 0,2878.95 0
pr07,1142.0 1,1149.31 1,1153.27 1
pr08,1706.43 0,1703.18 0,1715.73 0
pr09,2201.88 0,2196.81 0,2226.17 0
pr10,2986.46 0,2947.22 0,2977.68 0
