instance,ANN_prom,ANN_min,ANN_max,KNN_prom,KNN_min,KNN_max,RF_prom,RF_min,RF_max
p01,596.434,578.198,607.808,592.792,576.866,598.752,597.342,596.14,598.752
p02,493.015,488.523,498.946,490.892,480.724,495.067,491.501,488.523,498.946
p03,658.502,647.857,664.789,657.977,648.986,670.423,659.253,654.506,677.167
p04,1048.723,1033.66,1075.27,1051.065,1038.76,1065.19,1050.827,1030.67,1060.06
p05,777.326,764.741,786.164,779.947,774.538,784.348,779.666,768.762,786.619
p06,912.84,897.934,931.529,902.959,890.759,918.585,907.292,892.442,923.942
p07,932.131,919.522,948.64,921.649,904.522,933.459,927.52,909.827,941.438
p08,4961.743,4818.01,5012.76,4838.655,4713.0,4883.5,4942.956,4819.81,5030.5
p09,4558.343,4463.79,4644.26,4285.919,4215.93,4384.91,4277.375,4226.81,4350.62
p10,4201.86,4090.64,4326.92,4197.058,4066.37,4297.17,4069.724,3960.0,4172.29
p11,4091.726,3933.61,4251.25,4112.155,4007.89,4214.48,3988.732,3864.82,4163.19
p12,1323.69,1318.95,1326.85,1327.756,1318.95,1351.71,1324.48,1318.95,1326.85
p13,1323.936,1318.95,1329.31,1322.9,1318.95,1326.85,1323.69,1318.95,1326.85
p14,1325.27,1318.95,1326.85,1323.936,1318.95,1329.31,1322.9,1318.95,1326.85
p15,2624.109,2585.42,2689.26,2636.27,2577.52,2715.6,2620.789,2587.88,2657.94
p16,2625.462,2587.88,2666.71,2606.644,2579.25,2639.24,2643.505,2577.52,2689.52
p17,2597.475,2568.5,2640.89,2646.983,2579.25,2710.9,2616.277,2579.25,2666.98
p18,4047.737,3974.89,4114.18,4029.964,3915.93,4133.41,4013.868,3909.73,4166.85
p19,3967.095,3874.38,4086.89,3981.032,3914.19,4034.86,4004.478,3946.48,4121.9
p20,3979.906,3906.76,4105.6,4013.462,3871.34,4192.06,4036.988,3944.43,4277.5
p21,6181.867,5986.54,6329.84,6278.729,6116.24,6495.91,6344.881,6122.53,6586.33
p22,6157.6,6028.54,6313.21,6268.337,6100.51,6439.96,6295.014,6094.59,6553.22
p23,6160.45,6058.57,6339.87,6253.677,5980.36,6568.03,6310.212,6183.75,6504.14
pr01,891.538,891.538,891.538,891.538,891.538,891.538,891.538,891.538,891.538
pr02,1364.137,1347.59,1389.83,1376.773,1317.92,1398.87,1380.406,1358.31,1419.09
pr03,1864.055,1844.51,1887.52,1859.369,1846.01,1893.26,1860.394,1846.24,1889.83
pr04,2179.729,2156.35,2219.13,2169.0,2144.52,2186.6,2182.594,2162.48,2206.73
pr05,2515.851,2434.46,2572.62,2504.224,2446.69,2547.52,2544.134,2482.49,2579.93
pr06,2874.556,2827.22,2922.03,2861.894,2820.36,2923.71,2950.62,2878.95,3053.91
pr07,1150.042,1142.0,1153.79,1165.603,1149.31,1246.92,1156.684,1153.27,1170.34
pr08,1717.306,1706.43,1732.23,1712.705,1703.18,1721.36,1724.638,1715.73,1749.89
pr09,2238.768,2201.88,2285.9,2223.635,2196.81,2252.91,2257.015,2226.17,2288.35
pr10,3030.917,2986.46,3115.1,2984.618,2947.22,3022.07,3043.896,2977.68,3098.61
