instance,ANN_min,KNN_min,RF_min
p01,596.14 1,576.87 1,592.16 1
p02,488.52 1,488.52 1,486.68 1
p03,647.75 1,648.91 1,654.4 1
p04,1036.18 1,1042.69 1,1058.5 1
p05,770.49 1,773.07 1,770.85 1
p06,892.4 1,892.23 1,914.62 1
p07,916.51 1,911.28 1,924.16 1
p08,5071.17 1,5159.79 1,4988.7 0
p09,4110.89 1,4282.47 1,4204.52 1
p10,3935.42 1,4082.78 1,3982.33 1
p11,3926.18 1,4132.99 1,3986.79 1
p12,1318.95 1,1318.95 1,1318.95 1
p13,1318.95 1,1318.95 1,1318.95 1
p14,1318.95 0,1318.95 0,1318.95 0
p15,2588.3 1,2583.97 1,2581.72 1
p16,2587.78 0,2579.25 0,2577.52 0
p17,2569.63 0,2568.5 0,2591.16 0
p18,3887.63 1,3848.99 1,3895.39 1
p19,3940.47 0,3848.99 0,3932.1 0
p20,3938.15 0,3860.69 0,3893.09 0
p21,6108.27 1,6061.01 1,6008.89 1
p22,6212.37 0,6173.84 0,5962.49 0
p23,6079.29 0,6061.02 0,6013.0 0
pr01,891.54 1,891.54 1,891.54 1
pr02,1328.18 1,1336.58 1,1326.48 1
pr03,1862.03 1,1873.56 1,1856.89 1
pr04,2149.17 0,2165.23 0,2168.82 0
pr05,2451.65 0,2570.36 0,2583.62 0
pr06,2824.06 0,2923.28 0,2924.88 0
pr07,1150.55 1,1150.55 1,1150.55 1
pr08,1710.9 0,1714.04 0,1710.13 0
pr09,2230.34 1,2234.56 1,2259.66 1
pr10,2991.03 0,3024.85 0,3039.95 0
