instance,alpha,beta,bound,crossoverRate,elitism,interAttemptRate,interMutationRate,intraMutationRate,populationSize,probBestIndividual,probReversal,probSingle
pr01,59.00966,3.1006413,2.1747084,0.8601882,0.0891951,-0.6445032,0.5991785,0.600416,653.4277,0.8374419,0.49620423,0.7742065
pr02,59.831947,9.0495205,1.6545447,0.9979952,0.09673344,2.7796128,0.53459907,0.49306524,556.30206,0.7865678,0.36840105,0.6531291
pr03,44.341675,8.919356,1.9349604,0.91894686,0.09169648,3.1935046,0.547141,0.47438204,457.55325,0.77086204,0.39626706,0.70254207
pr04,60.807228,11.451265,1.7214369,0.94345224,0.099264756,6.5571,0.51808476,0.4530422,438.1176,0.7540423,0.35075098,0.58192915
pr05,55.47527,12.127703,1.7649138,0.9581027,0.093217455,7.7371383,0.47430295,0.44462964,521.607,0.75259715,0.35496852,0.5620028
pr06,52.272934,13.264345,1.8036296,0.9226439,0.10194748,9.079495,0.5144481,0.43691137,459.80066,0.72888774,0.38960257,0.5578235
pr07,21.738264,5.9150834,2.3512084,0.8442434,0.09877081,2.0036411,0.64815176,0.5359271,653.581,0.7951523,0.5245024,0.7778503
pr08,41.794712,9.327114,1.9343779,0.8675678,0.08875339,4.42181,0.52217805,0.5147658,443.90344,0.7572002,0.37794852,0.64008415
pr09,39.74782,11.8088455,1.8443202,0.8646264,0.09979988,7.264878,0.5367656,0.5052621,402.67245,0.7220517,0.39266843,0.5828561
pr10,48.955864,12.53568,1.7981868,0.86555785,0.09401746,9.770988,0.50474685,0.50261015,380.98245,0.73150337,0.3894143,0.53374857
p01,112.42699,-0.97221494,1.7640653,0.8911576,0.107862934,-1.3764722,0.64680636,0.7630999,466.1356,0.91839856,0.41601747,0.61344874
p02,75.50663,0.5517103,1.7335019,0.9983972,0.09008149,-4.6663713,0.59657073,0.7004247,460.81186,0.8751252,0.41332668,0.71953416
p03,95.92392,3.1075397,1.6451825,1.022784,0.11330111,-0.19891775,0.66068774,0.69557333,423.11282,0.88236076,0.44165984,0.6179404
p04,91.723305,4.6370926,1.6647708,1.0418454,0.109559484,0.0052393083,0.60680085,0.5478983,523.2198,0.8701482,0.39719892,0.68267536
p05,87.312546,7.229977,1.4589895,1.080457,0.10277895,0.3258354,0.5618896,0.53834945,485.34943,0.82777786,0.35371625,0.61208093
p06,105.995316,5.1981187,1.4901465,1.0082115,0.117221266,1.8276978,0.63981205,0.6323451,445.01578,0.8619035,0.38724613,0.57871276
p07,91.84105,5.0062256,1.599192,1.0093294,0.112056315,0.8834783,0.6345857,0.62411255,461.3377,0.85400707,0.3982035,0.6143546
p08,58.939503,11.941748,2.3688254,0.7815849,0.094432406,11.506734,0.47491756,0.28511548,470.57864,0.7465491,0.40344256,0.6297767
p09,64.38561,11.489205,2.1260617,0.73950285,0.10625828,12.244196,0.54487175,0.38753992,309.46753,0.7325923,0.44637495,0.59157705
p10,52.327587,10.836419,2.2186153,0.7419178,0.10456756,10.778321,0.56926507,0.4230974,283.2275,0.7313407,0.47555354,0.63431025
p11,53.48118,10.331271,2.1754026,0.73572296,0.10734079,10.796141,0.60477185,0.47836775,230.61865,0.74372005,0.49472326,0.6373186
p12,127.59395,-2.984009,2.0232508,0.9224098,0.086905695,-1.4961627,0.44538537,0.62252223,423.5696,0.8771392,0.49295583,0.6230381
p13,127.59395,-2.984009,2.0232508,0.9224098,0.086905695,-1.4961627,0.44538537,0.62252223,423.5696,0.8771392,0.49295583,0.6230381
p14,127.59395,-2.984009,2.0232508,0.9224098,0.086905695,-1.4961627,0.44538537,0.62252223,423.5696,0.8771392,0.49295583,0.6230381
p15,137.7822,-0.680297,1.5203608,0.96945673,0.1019795,-1.1722336,0.53981006,0.6219422,165.9318,0.8776274,0.5192166,0.6037165
p16,137.7822,-0.680297,1.5203608,0.96945673,0.1019795,-1.1722336,0.53981006,0.6219422,165.9318,0.8776274,0.5192166,0.6037165
p17,137.7822,-0.680297,1.5203608,0.96945673,0.1019795,-1.1722336,0.53981006,0.6219422,165.9318,0.8776274,0.5192166,0.6037165
p18,120.58819,1.0280445,1.5708396,0.869056,0.10371929,1.5154197,0.58387035,0.6112516,85.99824,0.84674776,0.5827006,0.588633
p19,120.58819,1.0280445,1.5708396,0.869056,0.10371929,1.5154197,0.58387035,0.6112516,85.99824,0.84674776,0.5827006,0.588633
p20,120.58819,1.0280445,1.5708396,0.869056,0.10371929,1.5154197,0.58387035,0.6112516,85.99824,0.84674776,0.5827006,0.588633
p21,91.91135,3.2479713,1.845035,0.73868734,0.10079836,5.3043623,0.62670714,0.6027106,39.83677,0.80434334,0.65097445,0.58005077
p22,91.91135,3.2479713,1.845035,0.73868734,0.10079836,5.3043623,0.62670714,0.6027106,39.83677,0.80434334,0.65097445,0.58005077
p23,91.91134,3.247971,1.8450344,0.73868734,0.10079835,5.304361,0.6267071,0.60271055,39.836823,0.80434334,0.6509745,0.5800507
