instance,alpha,beta,bound,crossoverRate,elitism,interAttemptRate,interMutationRate,intraMutationRate,populationSize,probBestIndividual,probReversal,probSingle
pr01,152.3527,-1.3524747,1.328451,0.63802373,0.12865698,10.478347,0.51842386,0.5457617,446.2012,0.96385324,0.48786962,0.3535421
pr02,122.340324,0.1314493,1.4120584,0.9472395,0.17019665,7.200327,0.57429135,0.50960004,143.90424,0.8896861,0.42593324,0.5416017
pr03,106.137505,-0.5145459,1.5715315,0.9285079,0.13844489,7.231308,0.43870917,0.61078197,-26.857626,0.8223294,0.5771684,0.5446162
pr04,121.76236,-0.11090964,1.6605983,1.007752,0.16788042,8.141227,0.45727405,0.57907796,128.73332,0.8150236,0.49260482,0.57929593
pr05,64.826744,1.6102704,1.51246,0.9741701,0.15965734,5.0900083,0.6658384,0.46018532,-1.3418615,0.87486154,0.3875565,0.6231703
pr06,57.420296,4.42935,1.5386217,0.9755303,0.16444644,6.568662,0.55274487,0.51489675,-54.58337,0.8000763,0.5211158,0.6126439
pr07,37.11831,7.6491704,1.6362145,0.5676605,0.12272496,8.784512,0.58300257,0.6273475,255.4133,0.8289935,0.81114316,0.3708544
pr08,136.08463,-3.1108637,2.0344338,0.8933714,0.13168119,7.4914346,0.43394762,0.6179327,123.3944,0.81325895,0.5042466,0.54341006
pr09,107.23506,0.9348133,2.0215635,0.9375043,0.14741926,7.747827,0.40918145,0.6268924,-3.1746776,0.7495282,0.5815989,0.5685647
pr10,100.4055,0.29326895,2.0761974,0.9619026,0.14562759,6.7305307,0.47843355,0.5823133,-4.5127063,0.7725237,0.5061876,0.60250294
p01,125.37185,-2.2277465,1.9509304,0.84725606,0.08174537,2.7708254,0.7420975,0.5874967,551.19604,0.9054885,0.40649667,0.5351457
p02,107.25144,-0.17843793,1.6037822,0.967062,0.13900264,2.0358095,0.6122685,0.63416606,131.78917,0.8693617,0.6017465,0.45447037
p03,64.71694,7.1173463,1.6511463,0.9605877,0.16775842,2.6075795,0.6834972,0.6211816,243.47174,0.83467466,0.69146025,0.43366757
p04,26.25489,6.4453425,1.321501,0.9902546,0.13528849,1.2456588,0.7590482,0.52212304,65.907684,0.83312,0.6084548,0.6160808
p05,89.69861,5.951831,1.3907143,1.1249303,0.20863815,5.374375,0.5130364,0.6327792,155.2794,0.7894172,0.6859509,0.49897113
p06,88.579094,5.321627,1.5778755,1.0356038,0.16098398,4.1906123,0.6298866,0.6023727,276.2133,0.81188095,0.5641469,0.54375553
p07,64.24426,5.1061864,1.6600311,0.9846943,0.14243315,2.6636353,0.70192105,0.5712342,214.18,0.80822265,0.56685424,0.577359
p08,78.27068,1.5161464,1.8221587,0.8941752,0.11279931,10.186777,0.26273784,0.70749944,86.31861,0.70653045,0.7678938,0.6106919
p09,121.32814,2.1124306,1.9677505,0.9337331,0.12053848,11.976182,0.10869355,0.835725,63.401093,0.66260797,0.8490026,0.5471272
p10,104.61739,2.286325,2.0406637,0.9030285,0.10647095,10.307537,0.16329567,0.8225523,-42.2467,0.65927553,0.8756794,0.54828745
p11,113.59563,2.2720163,2.1544013,0.8896721,0.10656574,9.991081,0.17010508,0.8285786,-70.05346,0.662636,0.8920375,0.5334908
p12,88.70748,0.68907696,1.6190368,0.86445045,0.10913245,2.5485637,0.64550674,0.25913274,787.9765,0.88372916,0.29465413,0.5026749
p13,88.70748,0.68907696,1.6190368,0.86445045,0.10913245,2.5485637,0.64550674,0.25913274,787.9765,0.88372916,0.29465413,0.5026749
p14,88.70748,0.68907696,1.6190368,0.86445045,0.10913245,2.5485637,0.64550674,0.25913274,787.9765,0.88372916,0.29465413,0.5026749
p15,136.81638,0.31054363,1.1685941,0.953757,0.1345651,2.6544151,0.6355834,0.31950015,408.53653,0.9476279,0.3314982,0.44628453
p16,136.81638,0.31054363,1.1685941,0.953757,0.1345651,2.6544151,0.6355834,0.31950015,408.53653,0.9476279,0.3314982,0.44628453
p17,136.81638,0.31054363,1.1685941,0.953757,0.1345651,2.6544151,0.6355834,0.31950015,408.53653,0.9476279,0.3314982,0.44628453
p18,114.5474,1.9385101,1.4740738,0.8496256,0.109544784,3.2721364,0.62014556,0.39048913,242.25877,0.9217005,0.4506684,0.45090914
p19,114.5474,1.9385101,1.4740738,0.8496256,0.109544784,3.2721364,0.62014556,0.39048913,242.25877,0.9217005,0.4506684,0.45090914
p20,114.5474,1.9385101,1.4740738,0.8496256,0.109544784,3.2721364,0.62014556,0.39048913,242.25877,0.9217005,0.4506684,0.45090914
p21,65.57124,4.570181,1.910284,0.694312,0.07426491,3.2394202,0.6272791,0.4547825,115.57341,0.8472352,0.6231506,0.49039677
p22,65.57124,4.570181,1.910284,0.694312,0.07426491,3.2394202,0.6272791,0.4547825,115.57341,0.8472352,0.6231506,0.49039677
p23,65.57125,4.570182,1.910284,0.694312,0.074264914,3.2394195,0.62727916,0.45478255,115.573235,0.8472352,0.6231505,0.49039677
