instance,alpha,beta,bound,crossoverRate,elitism,interAttemptRate,interMutationRate,intraMutationRate,populationSize,probBestIndividual,probReversal,probSingle
pr01,101.0,0.18719999999999992,2.0,0.845,0.101,2.2000000000000006,0.645,0.6499999999999999,575.0,0.8800000000000001,0.483,0.575
pr02,86.0,6.061100000000001,2.15,0.935,0.12500000000000003,3.4000000000000004,0.6849999999999999,0.595,494.99999999999994,0.8300000000000001,0.55,0.55
pr03,86.0,6.061100000000001,2.15,0.935,0.12500000000000003,3.4000000000000004,0.6849999999999999,0.595,494.99999999999994,0.8300000000000001,0.55,0.55
pr04,86.0,6.061100000000001,2.15,0.935,0.12500000000000003,3.4000000000000004,0.6849999999999999,0.595,494.99999999999994,0.8300000000000001,0.55,0.55
pr05,86.0,6.061100000000001,2.15,0.935,0.12500000000000003,3.4000000000000004,0.6849999999999999,0.595,494.99999999999994,0.8300000000000001,0.55,0.55
pr06,86.0,6.061100000000001,2.15,0.935,0.12500000000000003,3.4000000000000004,0.6849999999999999,0.595,494.99999999999994,0.8300000000000001,0.55,0.55
pr07,101.0,0.18719999999999992,2.0,0.845,0.101,2.2000000000000006,0.645,0.6499999999999999,575.0,0.8800000000000001,0.483,0.575
pr08,86.0,6.061100000000001,2.15,0.935,0.12500000000000003,3.4000000000000004,0.6849999999999999,0.595,494.99999999999994,0.8300000000000001,0.55,0.55
pr09,86.0,6.061100000000001,2.15,0.935,0.12500000000000003,3.4000000000000004,0.6849999999999999,0.595,494.99999999999994,0.8300000000000001,0.55,0.55
pr10,86.0,6.061100000000001,2.15,0.935,0.12500000000000003,3.4000000000000004,0.6849999999999999,0.595,494.99999999999994,0.8300000000000001,0.55,0.55
p01,101.0,0.18719999999999992,2.0,0.845,0.101,2.2000000000000006,0.645,0.6499999999999999,575.0,0.8800000000000001,0.483,0.575
p02,101.0,0.18719999999999992,2.0,0.845,0.101,2.2000000000000006,0.645,0.6499999999999999,575.0,0.8800000000000001,0.483,0.575
p03,86.0,6.061100000000001,2.15,0.935,0.12500000000000003,3.4000000000000004,0.6849999999999999,0.595,494.99999999999994,0.8300000000000001,0.55,0.55
p04,86.0,6.061100000000001,2.15,0.935,0.12500000000000003,3.4000000000000004,0.6849999999999999,0.595,494.99999999999994,0.8300000000000001,0.55,0.55
p05,86.0,6.061100000000001,2.15,0.935,0.12500000000000003,3.4000000000000004,0.6849999999999999,0.595,494.99999999999994,0.8300000000000001,0.55,0.55
p06,86.0,6.061100000000001,2.15,0.935,0.12500000000000003,3.4000000000000004,0.6849999999999999,0.595,494.99999999999994,0.8300000000000001,0.55,0.55
p07,86.0,6.061100000000001,2.15,0.935,0.12500000000000003,3.4000000000000004,0.6849999999999999,0.595,494.99999999999994,0.8300000000000001,0.55,0.55
p08,71.0,6.2501,1.85,0.96,0.14500000000000002,2.4999999999999996,0.5950000000000001,0.645,370.0,0.8400000000000001,0.508,0.558
p09,81.0,6.150200000000001,1.85,0.96,0.131,2.5000000000000018,0.595,0.595,370.0,0.82,0.508,0.533
p10,121.0,4.2152,1.55,0.935,0.09300000000000001,1.7999999999999994,0.545,0.5750000000000001,245.00000000000003,0.8699999999999999,0.433,0.608
p11,136.0,2.2262,1.3499999999999999,0.885,0.098,1.6000000000000008,0.545,0.525,89.99999999999997,0.86,0.558,0.591
p12,86.0,3.2212,2.1,0.895,0.126,2.300000000000001,0.435,0.445,560.0,0.79,0.499,0.491
p13,86.0,3.2212,2.1,0.895,0.126,2.300000000000001,0.435,0.445,560.0,0.79,0.499,0.491
p14,86.0,3.2212,2.1,0.895,0.126,2.300000000000001,0.435,0.445,560.0,0.79,0.499,0.491
p15,136.0,2.2262,1.3499999999999999,0.885,0.098,1.6000000000000008,0.545,0.525,89.99999999999997,0.86,0.558,0.591
p16,136.0,2.2262,1.3499999999999999,0.885,0.098,1.6000000000000008,0.545,0.525,89.99999999999997,0.86,0.558,0.591
p17,136.0,2.2262,1.3499999999999999,0.885,0.098,1.6000000000000008,0.545,0.525,89.99999999999997,0.86,0.558,0.591
p18,136.0,2.2262,1.3499999999999999,0.885,0.098,1.6000000000000008,0.545,0.525,89.99999999999997,0.86,0.558,0.591
p19,136.0,2.2262,1.3499999999999999,0.885,0.098,1.6000000000000008,0.545,0.525,89.99999999999997,0.86,0.558,0.591
p20,136.0,2.2262,1.3499999999999999,0.885,0.098,1.6000000000000008,0.545,0.525,89.99999999999997,0.86,0.558,0.591
p21,97.00000000000001,4.3111,1.85,0.885,0.096,4.200000000000001,0.5700000000000001,0.595,84.99999999999994,0.79,0.675,0.541
p22,97.00000000000001,4.3111,1.85,0.885,0.096,4.200000000000001,0.5700000000000001,0.595,84.99999999999994,0.79,0.675,0.541
p23,97.00000000000001,4.3111,1.85,0.885,0.096,4.200000000000001,0.5700000000000001,0.595,84.99999999999994,0.79,0.675,0.541
