instance,alpha,beta,bound,crossoverRate,elitism,interAttemptRate,interMutationRate,intraMutationRate,populationSize,probBestIndividual,probReversal,probSingle
pr01,85.0000,1.3356,1.8056,0.7472,0.0989,6.2778,0.4833,0.5194,405.5556,0.8444,0.6106,0.4022
pr02,87.7778,3.0379,1.3889,0.9444,0.1389,7.5000,0.6000,0.6306,177.7778,0.7389,0.5411,0.6061
pr03,98.3333,1.3829,1.4444,0.8722,0.1389,8.3333,0.5694,0.6444,300.0000,0.7611,0.5594,0.5922
pr04,82.7778,3.0379,1.4444,0.9444,0.1417,7.5000,0.6000,0.6750,183.3333,0.7611,0.5178,0.6061
pr05,82.7778,3.0379,1.4444,0.9444,0.1417,7.5000,0.6000,0.6750,183.3333,0.7611,0.5178,0.6061
pr06,82.7778,3.0379,1.4444,0.9444,0.1417,7.5000,0.6000,0.6750,183.3333,0.7611,0.5178,0.6061
pr07,90.5556,2.8634,1.9167,0.7611,0.0850,5.7222,0.4750,0.5333,472.2222,0.8278,0.5644,0.3933
pr08,98.3333,1.3829,1.4444,0.8722,0.1389,8.3333,0.5694,0.6444,300.0000,0.7611,0.5594,0.5922
pr09,98.3333,1.3829,1.4444,0.8722,0.1389,8.3333,0.5694,0.6444,300.0000,0.7611,0.5594,0.5922
pr10,82.7778,3.0379,1.4444,0.9444,0.1417,7.5000,0.6000,0.6750,183.3333,0.7611,0.5178,0.6061
p01,73.8889,3.9684,1.8056,0.8778,0.1011,6.2222,0.5611,0.5472,405.5556,0.8389,0.5367,0.3611
p02,73.8889,3.9684,1.8056,0.8778,0.1011,6.2222,0.5611,0.5472,405.5556,0.8389,0.5367,0.3611
p03,66.1111,4.0962,1.8889,0.9000,0.1200,4.6667,0.6056,0.6222,366.6667,0.8444,0.5367,0.5183
p04,66.1111,4.0962,1.8889,0.9000,0.1200,4.6667,0.6056,0.6222,366.6667,0.8444,0.5367,0.5183
p05,68.3333,5.2017,1.7778,0.9444,0.1283,5.6111,0.6361,0.5889,322.2222,0.8167,0.5133,0.4950
p06,66.1111,4.0962,1.8889,0.9000,0.1200,4.6667,0.6056,0.6222,366.6667,0.8444,0.5367,0.5183
p07,66.1111,4.0962,1.8889,0.9000,0.1200,4.6667,0.6056,0.6222,366.6667,0.8444,0.5367,0.5183
p08,92.7778,1.3801,1.3333,0.8944,0.1306,9.3333,0.5639,0.6000,191.6667,0.7556,0.5689,0.5367
p09,101.6667,0.8051,1.6944,0.7917,0.1150,8.5556,0.4556,0.6194,272.2222,0.7556,0.6522,0.4811
p10,101.6667,0.8051,1.6944,0.7917,0.1150,8.5556,0.4556,0.6194,272.2222,0.7556,0.6522,0.4811
p11,101.6667,0.8051,1.6944,0.7917,0.1150,8.5556,0.4556,0.6194,272.2222,0.7556,0.6522,0.4811
p12,90.0000,1.8042,1.7500,0.8611,0.1161,2.3333,0.4972,0.5083,422.2222,0.7833,0.4667,0.5922
p13,90.0000,1.8042,1.7500,0.8611,0.1161,2.3333,0.4972,0.5083,422.2222,0.7833,0.4667,0.5922
p14,90.0000,1.8042,1.7500,0.8611,0.1161,2.3333,0.4972,0.5083,422.2222,0.7833,0.4667,0.5922
p15,93.3333,1.9179,1.5556,0.8361,0.0972,3.3889,0.6139,0.5194,150.0000,0.8111,0.5922,0.6289
p16,93.3333,1.9179,1.5556,0.8361,0.0972,3.3889,0.6139,0.5194,150.0000,0.8111,0.5922,0.6289
p17,93.3333,1.9179,1.5556,0.8361,0.0972,3.3889,0.6139,0.5194,150.0000,0.8111,0.5922,0.6289
p18,93.3333,1.9179,1.5556,0.8361,0.0972,3.3889,0.6139,0.5194,150.0000,0.8111,0.5922,0.6289
p19,93.3333,1.9179,1.5556,0.8361,0.0972,3.3889,0.6139,0.5194,150.0000,0.8111,0.5922,0.6289
p20,93.3333,1.9179,1.5556,0.8361,0.0972,3.3889,0.6139,0.5194,150.0000,0.8111,0.5922,0.6289
p21,93.3333,1.9179,1.5556,0.8361,0.0972,3.3889,0.6139,0.5194,150.0000,0.8111,0.5922,0.6289
p22,93.3333,1.9179,1.5556,0.8361,0.0972,3.3889,0.6139,0.5194,150.0000,0.8111,0.5922,0.6289
p23,93.3333,1.9179,1.5556,0.8361,0.0972,3.3889,0.6139,0.5194,150.0000,0.8111,0.5922,0.6289
