instance,id_repeticion,alpha,beta,bound,crossoverRate,elitism,interAttemptRate,interMutationRate,intraMutationRate,populationSize,probBestIndividual,probReversal,probSingle
p03,0,150,0.001,1.5,0.4,0.05,1,0.75,0.25,400,0.7,0.75,0.0
p03,1,10,0.1,3.0,0.4,0.1,2,0.75,0.5,50,0.7,0.33,0.25
p03,2,50,10.0,4.0,0.6,0.15,1,0.75,0.75,500,1.0,0.50,0.0
p03,3,100,0.01,1.0,0.6,0.01,1,0.5,0.2,800,0.8,0.33,0.25
p03,4,10,0.05,1.0,1.0,0.15,1,0.75,0.2,400,0.6,0.50,0.33
p03,5,100,0.1,2.5,1.0,0.15,1,0.75,0.5,500,0.7,0.33,0.33
p03,6,10,0.001,1.5,1.0,0.01,1,0.75,0.75,500,0.8,0.33,1.0
p03,7,10,10.0,3.0,0.4,0.05,1,1.0,0.75,400,0.8,0.33,0.0
p03,8,200,0.001,2.5,0.75,0.15,5,0.75,0.5,50,0.9,0.33,0.50
p03,9,200,10.0,1.0,0.6,0.01,1,1.0,0.25,800,0.6,0.33,0.33
p06,0,100,0.5,1.5,1.0,0.20,1,0.5,1.0,200,0.8,0.25,0.0
p06,1,50,0.1,1.5,1.0,0.15,2,1.0,1.0,200,1.0,0.75,0.33
p06,2,10,1.0,4.0,0.75,0.05,10,1.0,0.2,200,0.7,1.0,1.0
p06,3,150,10.0,0.5,1.0,0.20,10,0.1,0.75,100,0.8,0.25,0.25
p06,4,100,0.05,1.0,1.0,0.15,1,0.75,0.2,400,0.6,0.75,0.33
p06,5,150,0.1,1.5,1.0,0.01,2,1.0,1.0,500,1.0,0.33,1.0
p06,6,150,0.01,4.0,0.75,0.20,1,0.1,1.0,100,0.8,0.50,1.0
p06,7,150,0.001,2.5,0.75,0.15,1,0.2,1.0,50,0.7,0.33,0.25
p06,8,100,10.0,0.5,0.75,0.15,1,0.25,0.2,1000,1.0,0.75,0.0
p06,9,50,0.001,4.0,1.0,0.05,10,0.5,1.0,400,0.7,0.50,1.0
